Date,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Temperature (°C),Wind Speed (m/s),Pressure (Pa)
2023/1/2 8:29 AM,21 °F,19 °F,93 %,NNW,2 mph,0 mph,29.42 in,0.0 in,Cloudy,-6.111111111111111,0.89408,99627.5938
2023/1/2 9:00 AM,21 °F,19 °F,93 %,CALM,0 mph,0 mph,29.42 in,0.0 in,Light Snow Grains,-6.111111111111111,0.0,99627.5938
2023/1/2 10:00 AM,21 °F,18 °F,86 %,N,2 mph,0 mph,29.43 in,0.0 in,Light Snow,-6.111111111111111,0.89408,99661.4577
2023/1/2 11:00 AM,23 °F,18 °F,80 %,CALM,0 mph,0 mph,29.43 in,0.0 in,Light Snow,-5.0,0.0,99661.4577
2023/1/2 11:46 AM,25 °F,18 °F,74 %,E,2 mph,0 mph,29.42 in,0.0 in,Mostly Cloudy,-3.888888888888889,0.89408,99627.5938
2023/1/2 12:00 PM,25 °F,19 °F,80 %,E,2 mph,0 mph,29.42 in,0.0 in,Mostly Cloudy,-3.888888888888889,0.89408,99627.5938
2023/1/2 1:00 PM,27 °F,19 °F,74 %,E,2 mph,0 mph,29.41 in,0.0 in,Mostly Cloudy,-2.7777777777777777,0.89408,99593.72989999999
2023/1/2 2:00 PM,28 °F,21 °F,74 %,ENE,3 mph,0 mph,29.40 in,0.0 in,Light Snow,-2.2222222222222223,1.34112,99559.866
2023/1/2 3:00 PM,27 °F,21 °F,80 %,E,3 mph,0 mph,29.41 in,0.0 in,Light Snow,-2.7777777777777777,1.34112,99593.72989999999
2023/1/2 4:00 PM,27 °F,21 °F,80 %,E,5 mph,0 mph,29.41 in,0.0 in,Light Snow,-2.7777777777777777,2.2352,99593.72989999999
2023/1/2 5:00 PM,27 °F,23 °F,86 %,ESE,2 mph,0 mph,29.41 in,0.0 in,Light Snow,-2.7777777777777777,0.89408,99593.72989999999
2023/1/2 6:00 PM,27 °F,23 °F,86 %,ESE,2 mph,0 mph,29.41 in,0.0 in,Light Snow,-2.7777777777777777,0.89408,99593.72989999999
2023/1/2 7:00 PM,27 °F,23 °F,86 %,E,3 mph,0 mph,29.42 in,0.0 in,Light Snow,-2.7777777777777777,1.34112,99627.5938
2023/1/2 7:28 PM,27 °F,23 °F,86 %,ESE,2 mph,0 mph,29.43 in,0.0 in,Light Snow,-2.7777777777777777,0.89408,99661.4577
