Date,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Temperature (°C),Wind Speed (m/s),Pressure (Pa)
2022/1/1 1:00 AM,25 °F,23 °F,93 %,ESE,3 mph,0 mph,29.29 in,0.0 in,Cloudy,-3.888888888888889,1.34112,99187.36309999999
2022/1/1 2:00 AM,25 °F,23 °F,93 %,SSE,3 mph,0 mph,29.28 in,0.0 in,Cloudy,-3.888888888888889,1.34112,99153.4992
2022/1/1 3:00 AM,25 °F,23 °F,93 %,CALM,0 mph,0 mph,29.28 in,0.0 in,Cloudy,-3.888888888888889,0.0,99153.4992
2022/1/1 4:00 AM,25 °F,23 °F,93 %,ESE,5 mph,0 mph,29.27 in,0.0 in,Cloudy,-3.888888888888889,2.2352,99119.6353
2022/1/1 5:00 AM,25 °F,23 °F,93 %,E,5 mph,0 mph,29.25 in,0.0 in,Cloudy,-3.888888888888889,2.2352,99051.9075
2022/1/1 6:00 AM,27 °F,23 °F,86 %,E,3 mph,0 mph,29.23 in,0.0 in,Cloudy,-2.7777777777777777,1.34112,98984.1797
2022/1/1 7:00 AM,27 °F,25 °F,93 %,ESE,5 mph,0 mph,29.22 in,0.0 in,Cloudy,-2.7777777777777777,2.2352,98950.3158
2022/1/1 8:00 AM,27 °F,25 °F,93 %,E,9 mph,0 mph,29.19 in,0.0 in,Cloudy,-2.7777777777777777,4.02336,98848.7241
2022/1/1 9:00 AM,27 °F,25 °F,93 %,E,12 mph,0 mph,29.19 in,0.0 in,Cloudy,-2.7777777777777777,5.36448,98848.7241
2022/1/1 10:00 AM,27 °F,27 °F,100 %,E,12 mph,0 mph,29.15 in,0.0 in,Light Snow,-2.7777777777777777,5.36448,98713.26849999999
2022/1/1 11:00 AM,28 °F,27 °F,93 %,E,3 mph,0 mph,29.17 in,0.0 in,Light Snow,-2.2222222222222223,1.34112,98780.9963
2022/1/1 11:13 AM,28 °F,27 °F,93 %,CALM,0 mph,0 mph,29.18 in,0.0 in,Light Snow,-2.2222222222222223,0.0,98814.8602
2022/1/1 12:00 PM,28 °F,28 °F,100 %,ESE,5 mph,0 mph,29.18 in,0.0 in,Light Snow,-2.2222222222222223,2.2352,98814.8602
2022/1/1 12:37 PM,28 °F,28 °F,100 %,ESE,5 mph,0 mph,29.15 in,0.0 in,Light Snow,-2.2222222222222223,2.2352,98713.26849999999
2022/1/1 1:00 PM,30 °F,28 °F,93 %,E,5 mph,0 mph,29.13 in,0.0 in,Light Snow,-1.1111111111111112,2.2352,98645.5407
2022/1/1 1:24 PM,28 °F,28 °F,100 %,SE,3 mph,0 mph,29.13 in,0.0 in,Light Snow,-2.2222222222222223,1.34112,98645.5407
2022/1/1 2:00 PM,28 °F,28 °F,100 %,CALM,0 mph,0 mph,29.11 in,0.0 in,Light Snow,-2.2222222222222223,0.0,98577.81289999999
